"NumberMechanism","PRI_Class","FinalProt_LenT","protect"
"1","Class 1",6290.42,0.143692177868056
"2","Class 1",11127.43,0.254184084810608
"3","Class 1",9532.38,0.217748328802512
"4","Class 1",10284.61,0.23493153230207
"≥5","Class 1",2890.37,0.0660247742033907
"1","Class 2",52868.93,1.20768592450962
"2","Class 2",231837.26,5.29586272464522
"3","Class 2",54495.04,1.24483118465966
"4","Class 2",25439.12,0.581106278411747
"≥5","Class 2",4019.62,0.0918202523841008
"1","Class 3",293489.13,6.70417750647827
"2","Class 3",96815.8,2.21156507101881
"3","Class 3",36766.08,0.839848230622308
"4","Class 3",8843.69,0.202016570672538
"≥5","Class 3",1518.7,0.0346916915767495
"1","Class 4",485403.94,11.0880909834852
"2","Class 4",222812.25,5.08970425793219
"3","Class 4",27463.44,0.627347856796317
"4","Class 4",2640.87,0.0603254411893662
"≥5","Class 4",205.84,0.00470200684411544
